1000
1001101011010101000111001011 01110101110111
10100001 10101101101011100100101100111000011001010110100101101010011011111
1101101010011101110000011111101110101110100 01110110010111000010111000
11101100011011000011110011010110100111101000010101000 1100010000000000101100111001101101001011000110100010001000101100110
010111100000010101010100000011000101001011001100111111001011100101111010001 00011110110001100
001 111101
0011010010001101110011011100011010111110111101110101010100110100111000111 0
101110100001011000010000010001100100111111001000101100100011001000100 0111000110111101010000010110100001010101101011111111010010011101
101010010011111011001000000 10111010100111111100010010101000101110
11000110111 10000101101111101001100100101000100101000
00101101110010011011111111110111100011110011110110010001 11100001010111000111100000100111000001000001000111111001011000101111000011
11010000001111001111011111101011100100011101101011100110010100000 0100011011000010111110001000110100000100100110001101100011010000000010000011
1000010110000111010100111 1011010111111000010101000000001001011000100100011011011001
00110111111111011110010100111 00101001000001011001110101111001111001101011111000000110111100001
11100000011010011010100110011 0010100111100010000011100110011000010110001111100100011111101000011111100100
11111100111100101101110001 0001011100011000011000001111010111001
1100000100011100010001101010100111001101011111001111010000110101011000000001 010111011000000101111101011110010111110011100000010101
1010010110110100110011011011111100011100110 1100101000001010110111000100111010111000010010010001110001001
10000010 0110101001100111011001011011010101001111011
1100110111111 1100000100
001011 100100110011111110101011010100000111110100
010110010111010010000011101000110101100100 001000010110010110010010100001000000110100
1000101001110111001000100100111110101111001101010001100010001001 100101011001000101
11010001010001110100110111110110001111100101011 011100001000100011000111111000
011110001011011110 11010011101100111111111111001101010011
01011101100111101100000110101110100110010111011110100 001
11011 000100101001101100100101
0101000010111110 01010110000110100100010100100001000010100111111000010100101000010000
010001111011001010111111 0100011001101010000001110000100111000110000011111110001010000
10010111101000100110110001100110010111001000111111101001101 001010111101010101111101001000010101100010011010001001011111001001100010111000
0100011111010101100011 100001110011111101100001011011000001011011011001111010010000110
0011100100100010111110001000100010110111111010001101111100100000111111 00111011011001100100111011101010011101
0111110100010001111 11110110111100001010010101100101000101110111101110100000001111010000110
010100110001010000101101111001000101101101100110010100110 101001100000000110000000000001111111000100010000
0010010111100111010000010001001000100001001100110 1010100011100000001101110100100111000101
0000101010110100110101100 11010111001100111001011011010001001111011
000011011100101 1011
11010101001000110111 1101101001100
01000101000000110 10010000110100001001111110010011001000001110001
0010010000100001111001011000011010110111011010001000100100011110101100011100011 101000110100001111000110000111111111011000011001101001100011010001
1111000110101101011011110000101101110100110010001 00
10000101011101100010100110101100100110011010010110110010100 0010010000001001010010101001100110001011100
110010 10110101100010011010001001010100100101
00000111111011000110000111001101001001 01101011000010110001100000000011011000110101010
111010000101010001011110000101100111100101101111010100011101110100 1010110101001100
1001001000100010000101101 1000110001110001010001101010110001111101001110001
01100011010011010001101001110011100110000 001010000010111100101010100110010011010100000010101011110011111111000001
11100000100110111000101011010011 10010000110011000010000100010000110111
10110010111111101111101000100 011001110000000001010101000001000110111
0010001010001101001011010010 10110011110000100110010011101001000110010011101000001110
11100101100111010110001000100011111100101001100010111 10000100101010011001010001111101100011100000111010100111100100010111
1000000100111011111011011 1100101001010110110111010011010011
0000111011001101100010101111000001010010011101100001110100001 1100110101111101111110000111010000101001101100010110100000011101010111101110100
01010000110011000111011001001101011011010000011000000111100 0101011000000011110100110101110100001001
000111111100000011000111100101001111101010 110010111101010001011111110111100110010011111111000010110100110
1011111100101111010110 000101100011
1001100101110111111111101111000100101011000111 1111010111000001000010000101010010110110100101111011
11110001111000100110111000110110011001100111111101011001110011100100011 000101111001000000110000000000011000101101010001110111001
101110110101010010111 0010111011100100000111
11110101011111001 0000101100011010010100110101111111000010111101011110010001101000010000100000
1100100011000010011 01110010011010001101011110101100001111101111000101001001001111000000000001
101100111000010011101100101001110100111111000010000001100101110010000010 011100011011111000011111010010110110101011101
101 111100100000000
10111101011111100111011001111111011100111100011111101100111010101101010010011000 1111010000100010000110100101010
01001000101101101010101000000100011000101000010111111101000000100110111110011101 00100001000011010111000001010111
1110 101111101110100111000000111111
000111110011 11011100110110011011110001101011001010110101011101100010111100010001101
111010000011101011110001010111 1011111110001101010001111101011111
001100001010011100000110011101011111001100 000001000010010000001101111110100110100010011
0111011100110101001101000010110000111 1011111
000001101010101101110111111111000010110000100101011010 0011100
010110001111101000111001100 001000101000000101011110111011010100000
001111111011000110010010110000100001010 0000111000001000001110111101110000110000000001111110111100
101110011100001000110011000010000011001101111111 00110111011000
1111010100110000001001100101010101001001001110110 1000111110111010111110010
0000111011111110000100000011011000011010011110000101101001111011101100111 001110011011110
011001000000000011000001110111111011001010101000110110 110010010111110001010011001
10111100000010110000 100001111010100111110111110001000011000101100010101011
010011 01
00110101110010100001001000110011111010000011001000001010111100 0101001101110100100110111001010110
1011 0011111111111100000
010100011101111100 010001
0110111001101100001011111 1011001000111101011011101101010100101111000001001010101101000010100
010110101011111001101100011111101011111111000101111010100 00101010011001011
01000000100111111100110011001101000101110011000010011111110 1110001101000111010111010100001000000100011001110000011111101
000100111111100011101101000111111110011011010000101010000 01010110111100
10001110110011001110010010000100011011110101111110011111000100 11111010100001101101001101101010011000011100011100011000011000100011100100
111010000101001001101010000110101111000111011110 01100
1111000100000100111001110110000001111 11000110110100111101101011100000011100101110100110100
00100010000101 111101010110100101111110110111
11000 01111110100011001101111100100
0011011010011000000100100010110110 11101111001001000111111110110010011010101110001011011101100111100111011000110
000100010010000000111001111000011110011 11011001
0100010011100100101111101110101010111011110 0110011000111011000111010100110111010101101000
00101100 110011101100101110101000111000001101111100111000010101101100101010001110
1000111111111101010100001100100111111 01001010101101010110010110100011100100000110010010100110001110011001111111001010
0011101001110011111100011010000 010110001011010101011011011111111101100010111001
00011111010001100111001000111100111000100 0001001010101100
101011011001010111011 011011011101001011111101001000100
10011010101101111101011111100101010001101110110001000 00101001111010111000000100111101011110001001011010
00000101111111101001100110000011000100010000000101 001011010111
10101010000000100101011001000010101100000010101 000111000000010010111011010
01011010110100111001 011010111110001
0000000010101110111 1
001010101101101111001001110101001111111100 001010011111101101101010110001110011101010001101010111100111000101111
001011000000010011010110100101 10010100100111111000
111111001000111000101110101010 001100
001000010010 1
101100111010100011001010001100110011 1010111111000001011011
010001101010101010000100111111010111111100101000110000001010110001100110010 1
10110011100001101100100111 1011000111011010011111011110000000111001010111111
0001001001000100111101110010111000010 000000111011001001000111010011001001100010010100111100100010101110001101000010
100000100111101011110111 00000010100001010101010011010110011000011
11001001101111011100110011111 00001101000100011000001111011000001001001001001010001000001
111010001000010111110101111100100101001101001010011101011001111000011011001 1011010001110110101001101101000111100100011
10101011100 00010100110100101110010111110111
1100000011001001001011111101000111110010011011000011101 11110101110111010000101100011101000111011001001110100010101001
11011100010011000101011011001011000100011101110001000100001100001 011001111010000000011100111011011001011011100011000111100010010100111101
1100010001101110001111001011001111100000111011101111001110011100101 0100000000111010111000100011001011001110110000110110100001011100010100
1010101001000110001010111001010 11000001
0001001 100001001
11000101001100001111000001100001101111111010 101100100001100000111000110111
100100110010001111011000111001 0110011101100111101110000001010111010110101110100000100000011000011
010101010011111110 0011000011111010010101011110100101000101
1011010110010001101000001001100001100011001101010100101101 0101011101110110010101010101001000110101000001000
00010110101001011011110 11000101101000101001011001011100010010111001000110011110000001101
01111011010000 11010110101101110011110010111
010000100010100011101100000001110001100101110110010011001011110 001011001
000001111101101111111110010000100110111101101001111001 1011011100101011001110011011111101010011110100011001010
01100110101101010101110100011101100010000 100010010001101111010001111001111
1101001011101101001010010100100000110110000011011000011101 01000010111100001101100011110110011100110010
10011010001110100011101100001101011111110011101011100011011001011001111000111 00110000011000011001110101011010110011111110
110101101001010110111100001101110001010110100110000100011011000010000110 1000101000
1101100100011100010110101110001001100110011100110001001000100001100101110 01101111010001100110000111111001111001110110011111000100100110000001101011101
000011110101101111100000010000110010010011000110110011010000000111 1111001111000100101011011001101011010110011111001
0110110001110001101011100100111111000010 000000101111101000001011010110000101000011111001000110
011001001011000100001000010101010101001011000001000010111 11101011110101001
011001010111001000100101101010001111010001010001111011111100000010010 100000100101100101101000111101100010111111110
001010011001010101100000011001101111001110000001 10111101010110010011110100101111110111
111110001000111111011000110101011001011100001100110000010010110101111100011 11111010011001101011011111111011100100
00110001111101001000101010100111001010001000100101111 0101100011101001111000011111011111110000101
001110111111000101011011111001011010010100011000000100000 0001011011010111100100000110001
000000110000100111110000010010010001101110100010011011 00000101100000101111001111101011101011011110101000100110011
101010001001000110 101010101111010100001100100000000100
11 1100101101011011001101101101001011101000110100110011101000111111110011
01000101111110000111110101100111000111110011011011010010000001001100 000001010111
111110001010100001100010 00110000001011001011010000111010001
0001100100100010011010111001100101100111011110101010001100010001 000010101001101100100
1 00101110011100000101011101111100010101000001111100000000100111011100111000
1100101100101100000100101001010100001111101100011001001110111111010011010 110100100101111100110000010111001010000110101011
