100
56 113
49 19 35
3 13 35
30 2 28
25 27 35
25 34 35
14 22 28
5 11 35
15 29 35
21 34 35
30 23 35
56 35 35
54 8 28
36 39 36
52 3 33
19 38 35
14 16 28
43 31 35
53 56 53
15 26 35
44 11 28
49 37 35
32 56 7
42 51 35
39 5 35
53 22 53
11 51 35
49 13 35
14 19 28
38 6 35
38 18 35
4 29 35
8 48 28
17 50 17
45 20 35
41 15 35
41 49 38
5 55 35
41 21 35
7 48 7
34 20 7
2 33 35
47 40 28
19 20 7
25 12 35
12 37 7
14 43 35
22 8 28
36 30 28
28 22 28
12 11 53
44 16 28
49 38 38
38 42 38
48 51 35
44 1 35
16 17 35
43 5 35
9 56 35
30 7 7
14 27 28
15 35 35
5 55 35
32 39 7
35 17 35
3 2 35
10 20 35
55 21 35
20 24 7
28 21 35
38 43 35
51 38 35
24 12 28
16 41 35
2 18 7
42 38 38
38 25 35
23 18 35
18 36 7
2 50 35
44 43 35
47 54 28
38 47 35
43 14 35
9 49 33
54 48 44
27 14 28
34 39 53
3 45 35
11 13 35
49 38 38
22 25 35
49 12 35
52 1 52
38 20 35
46 41 38
24 19 8
23 50 35
32 44 7
15 20 35
25 7 35
45 35 35
15 50 35
49 28 35
48 12 28
1 9 1
39 4 28
3 49 10
14 46 35
45 40 35
17 37 35
1 37 35
7 2 7
13 6 35
45 32
42 38 24
11 3 24
33 31 24
30 45 26
27 16 24
13 8 24
28 7 27
14 36 27
26 13 26
9 18 24
36 26 24
42 25 42
36 29 24
22 3 26
31 20 41
32 17 24
42 43 24
40 20 24
15 1 37
9 34 24
28 42 27
30 29 24
39 29 24
13 10 26
35 24 24
1 24 24
45 25 24
33 44 24
18 39 24
27 6 24
12 35 26
12 16 26
42 22
3 38 26
8 23 33
15 12 15
3 36 36
20 22 15
29 40 25
28 1 28
37 27 33
9 26 26
22 7 33
33 18 33
28 11 33
37 24 28
24 5 33
5 21 5
27 6 15
20 2 33
20 28 33
32 24 33
35 23 33
34 15 33
40 1 25
47 96
20 16 44
24 13 39
31 26 26
25 26 26
16 1 44
13 12 39
44 21 44
38 33 38
7 27 38
10 21 39
37 5 26
40 36 39
25 46 39
17 36 39
13 32 39
26 2 38
39 10 39
9 36 39
37 38 38
29 18 39
17 27 38
26 21 39
4 22 44
28 39 39
25 19 26
1 16 44
24 40 40
24 36 39
20 40 12
46 18 39
10 3 26
30 26 26
42 26 26
19 36 39
32 22 38
14 4 44
19 3 26
23 25 38
